Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
319,293,C300k_L700k_M700k_V2,300000,700000,700000,V2,15000,183,15.25,2146081.73,680488.74,123202.82,1744399.10,-120953.00,6.73%
320,510,C600k_L800k_M300k_V4,600000,800000,300000,V4,100000,33,2.75,1805212.44,92686.87,10937.65,1744720.20,-120631.90,6.00%
321,316,C300k_L1200k_M200k_V0,300000,1200000,200000,V0,0,360,30.00,2466988.84,1259234.10,61790.18,1745061.50,-120290.60,8.37%
322,319,C300k_L1200k_M200k_V3,300000,1200000,200000,V3,40000,87,7.25,1936989.55,291002.06,20156.90,1745090.18,-120261.92,6.10%
323,530,C700k_L0k_M1000k_V4,700000,0,1000000,V4,100000,29,2.42,1795606.06,84073.87,18723.58,1745277.64,-120074.46,6.00%
324,288,C300k_L600k_M800k_V2,300000,600000,800000,V2,15000,182,15.17,2153984.78,699012.89,134881.03,1745386.65,-119965.45,6.78%
325,274,C300k_L300k_M1100k_V3,300000,300000,1100000,V3,40000,85,7.08,1948187.44,345327.91,64362.69,1745412.85,-119939.25,6.16%
326,183,C200k_L100k_M1400k_V2,200000,100000,1400000,V2,15000,162,13.50,2174677.30,761807.24,130375.66,1745623.55,-119728.55,6.39%
327,515,C600k_L900k_M200k_V4,600000,900000,200000,V4,100000,33,2.75,1805851.57,89970.23,7581.88,1745664.50,-119687.60,5.99%
328,540,C700k_L200k_M800k_V4,700000,200000,800000,V4,100000,30,2.50,1797368.44,85217.85,19161.31,1745837.97,-119514.13,6.01%
329,545,C700k_L300k_M700k_V4,700000,300000,700000,V4,100000,30,2.50,1797721.72,84796.21,18386.39,1745986.12,-119365.98,6.01%
330,535,C700k_L100k_M900k_V4,700000,100000,900000,V4,100000,30,2.50,1797333.45,85005.82,18984.26,1746214.85,-119137.25,6.01%
331,298,C300k_L800k_M600k_V2,300000,800000,600000,V2,15000,183,15.25,2141354.28,660942.32,108383.86,1746346.31,-119005.79,6.65%
332,550,C700k_L400k_M600k_V4,700000,400000,600000,V4,100000,30,2.50,1798267.25,83824.68,16869.32,1746496.88,-118855.22,6.01%
333,178,C200k_L0k_M1500k_V2,200000,0,1500000,V2,15000,153,12.75,2152592.87,719098.90,122725.58,1746579.02,-118773.08,6.33%
334,520,C600k_L1000k_M100k_V4,600000,1000000,100000,V4,100000,33,2.75,1806626.30,87091.23,3928.15,1746711.21,-118640.89,5.98%
335,269,C300k_L200k_M1200k_V3,300000,200000,1200000,V3,40000,84,7.00,1947462.68,343086.43,63371.13,1746852.28,-118499.82,6.14%
336,555,C700k_L500k_M500k_V4,700000,500000,500000,V4,100000,30,2.50,1798756.59,82383.64,14938.95,1747080.40,-118271.70,6.00%
337,259,C300k_L0k_M1400k_V3,300000,0,1400000,V3,40000,78,6.50,1938279.51,327243.24,60012.00,1747492.80,-117859.30,6.11%
338,321,C300k_L1300k_M100k_V0,300000,1300000,100000,V0,0,360,30.00,2452635.63,1213985.80,30895.09,1747724.74,-117627.36,7.79%
339,560,C700k_L600k_M400k_V4,700000,600000,400000,V4,100000,30,2.50,1799240.00,80550.21,12622.10,1747746.62,-117605.48,6.00%
340,264,C300k_L100k_M1300k_V3,300000,100000,1300000,V3,40000,81,6.75,1944315.77,336789.01,61911.74,1747780.86,-117571.24,6.12%
341,525,C600k_L1100k_M0k_V4,600000,1100000,0,V4,100000,33,2.75,1807576.55,84113.33,0.00,1747867.58,-117484.52,5.97%
342,585,C800k_L0k_M900k_V4,800000,0,900000,V4,100000,27,2.25,1789800.25,69414.62,16659.51,1747882.85,-117469.25,6.00%
343,590,C800k_L100k_M800k_V4,800000,100000,800000,V4,100000,27,2.25,1790638.18,70080.23,16487.18,1748169.03,-117183.07,6.00%
344,303,C300k_L900k_M500k_V2,300000,900000,500000,V2,15000,183,15.25,2134937.14,638205.03,92063.71,1748216.52,-117135.58,6.57%
