Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
445,524,C600k_L1100k_M0k_V3,600000,1100000,0,V3,40000,69,5.75,1926165.39,177468.96,0.00,1795752.45,-69599.65,6.00%
446,539,C700k_L200k_M800k_V3,700000,200000,800000,V3,40000,65,5.42,1913338.60,186752.69,42162.22,1795767.70,-69584.40,6.10%
447,378,C400k_L900k_M400k_V2,400000,900000,400000,V2,15000,174,14.50,2152225.29,551943.74,71361.00,1796247.98,-69104.12,6.40%
448,544,C700k_L300k_M700k_V3,700000,300000,700000,V3,40000,66,5.50,1915402.47,186263.31,40696.09,1796920.45,-68431.65,6.10%
449,262,C300k_L100k_M1300k_V1,300000,100000,1300000,V1,5000,260,21.67,2472646.42,1199912.87,211645.51,1797625.72,-67726.38,7.28%
450,549,C700k_L400k_M600k_V3,700000,400000,600000,V3,40000,66,5.50,1916610.54,184191.83,37416.54,1797996.48,-67355.62,6.09%
451,353,C400k_L400k_M900k_V2,400000,400000,900000,V2,15000,168,14.00,2182572.64,634104.33,125845.07,1798044.37,-67307.73,6.56%
452,383,C400k_L1000k_M300k_V2,400000,1000000,300000,V2,15000,171,14.25,2146987.24,528070.76,54107.83,1799033.58,-66318.52,6.33%
453,554,C700k_L500k_M500k_V3,700000,500000,500000,V3,40000,66,5.50,1917227.64,180493.21,33100.82,1799133.70,-66218.40,6.08%
454,584,C800k_L0k_M900k_V3,800000,0,900000,V3,40000,57,4.75,1893927.96,148383.91,34283.90,1799835.22,-65516.88,6.06%
455,589,C800k_L100k_M800k_V3,800000,100000,800000,V3,40000,57,4.75,1896783.15,152280.10,35324.90,1800095.18,-65256.92,6.07%
456,559,C700k_L600k_M400k_V3,700000,600000,400000,V3,40000,66,5.50,1917499.91,175535.15,27870.49,1800373.84,-64978.26,6.06%
457,276,C300k_L400k_M1000k_V0,300000,400000,1000000,V0,0,360,30.00,2614060.52,1621220.48,276704.88,1800398.05,-64954.05,14.34%
458,257,C300k_L0k_M1400k_V1,300000,0,1400000,V1,5000,237,19.75,2426637.35,1098829.57,192488.50,1801741.94,-63610.16,6.91%
459,564,C700k_L700k_M300k_V3,700000,700000,300000,V3,40000,66,5.50,1917651.68,169656.62,21840.19,1801747.46,-63604.64,6.05%
460,634,C900k_L0k_M800k_V3,900000,0,800000,V3,40000,51,4.25,1879715.09,119856.35,28765.52,1802505.76,-62846.34,6.04%
461,388,C400k_L1100k_M200k_V2,400000,1100000,200000,V2,15000,165,13.75,2143439.56,503923.78,36203.38,1802783.60,-62568.50,6.26%
462,679,C1000k_L0k_M700k_V3,1000000,0,700000,V3,40000,45,3.75,1864465.51,93932.69,22543.85,1802989.62,-62362.48,6.02%
463,569,C700k_L800k_M200k_V3,700000,800000,200000,V3,40000,66,5.50,1917886.58,163169.38,15118.05,1803286.62,-62065.48,6.03%
464,348,C400k_L300k_M1000k_V2,400000,300000,1000000,V2,15000,164,13.67,2186166.28,633778.08,123779.28,1803621.53,-61730.57,6.49%
465,594,C800k_L200k_M700k_V3,800000,200000,700000,V3,40000,60,5.00,1903049.71,153908.25,35004.73,1804027.57,-61324.53,6.07%
466,579,C700k_L1000k_M0k_V3,700000,1000000,0,V3,40000,63,5.25,1916297.23,149734.38,0.00,1804347.78,-61004.32,5.99%
467,599,C800k_L300k_M600k_V3,800000,300000,600000,V3,40000,60,5.00,1904290.09,152811.58,32667.68,1804905.17,-60446.93,6.07%
468,574,C700k_L900k_M100k_V3,700000,900000,100000,V3,40000,66,5.50,1918614.86,156635.15,7855.53,1805060.37,-60291.73,6.01%
469,333,C400k_L0k_M1300k_V2,400000,0,1300000,V2,15000,142,11.83,2148034.60,571718.03,108297.01,1805764.76,-59587.34,6.31%
470,604,C800k_L400k_M500k_V3,800000,400000,500000,V3,40000,60,5.00,1905187.97,150331.95,29290.17,1805920.58,-59431.52,6.06%
471,362,C400k_L600k_M700k_V1,400000,600000,700000,V1,5000,292,24.33,2425573.94,1034899.52,187769.89,1806763.41,-58588.69,7.57%
472,393,C400k_L1200k_M100k_V2,400000,1200000,100000,V2,15000,159,13.25,2141677.25,481643.89,18225.33,1806867.93,-58484.17,6.20%
473,343,C400k_L200k_M1100k_V2,400000,200000,1100000,V2,15000,159,13.25,2184915.76,627335.76,120678.70,1807680.19,-57671.91,6.42%
474,639,C900k_L100k_M700k_V3,900000,100000,700000,V3,40000,54,4.50,1888022.48,122801.33,28884.02,1807924.09,-57428.01,6.05%
475,357,C400k_L500k_M800k_V1,400000,500000,800000,V1,5000,289,24.08,2442288.79,1068977.00,208483.92,1807990.35,-57361.75,7.74%
476,609,C800k_L500k_M400k_V3,800000,500000,400000,V3,40000,61,5.08,1907175.81,146478.73,24937.34,1808262.08,-57090.02,6.05%
477,614,C800k_L600k_M300k_V3,800000,600000,300000,V3,40000,60,5.00,1906005.11,141580.22,19721.30,1808283.94,-57068.16,6.03%
478,367,C400k_L700k_M600k_V1,400000,700000,600000,V1,5000,292,24.33,2409681.45,993656.60,162419.46,1808479.19,-56872.91,7.34%
479,338,C400k_L100k_M1200k_V2,400000,100000,1200000,V2,15000,151,12.58,2172505.39,606551.43,115474.10,1808724.71,-56627.39,6.36%
480,644,C900k_L200k_M600k_V3,900000,200000,600000,V3,40000,54,4.50,1890058.29,123710.36,27757.24,1808762.31,-56589.79,6.04%
481,684,C1000k_L100k_M600k_V3,1000000,100000,600000,V3,40000,48,4.00,1873164.68,96125.69,22481.87,1809218.16,-56133.94,6.02%
482,649,C900k_L300k_M500k_V3,900000,300000,500000,V3,40000,54,4.50,1890944.97,122148.29,25308.49,1809568.22,-55783.88,6.04%
483,629,C800k_L900k_M0k_V3,800000,900000,0,V3,40000,57,4.75,1903731.69,123903.75,0.00,1809569.19,-55782.91,5.98%
484,619,C800k_L700k_M200k_V3,800000,700000,200000,V3,40000,60,5.00,1906370.80,135983.17,13758.56,1809699.47,-55652.63,6.02%
485,689,C1000k_L200k_M500k_V3,1000000,200000,500000,V3,40000,48,4.00,1874674.28,96342.33,21188.91,1809949.54,-55402.56,6.02%
486,694,C1000k_L300k_M400k_V3,1000000,300000,400000,V3,40000,48,4.00,1875311.72,94452.31,18661.46,1810704.87,-54647.23,6.01%
487,372,C400k_L800k_M500k_V1,400000,800000,500000,V1,5000,291,24.25,2395070.30,951750.70,136256.87,1810803.08,-54549.02,7.14%
488,398,C400k_L1300k_M0k_V2,400000,1300000,0,V2,15000,153,12.75,2140993.11,460349.38,0.00,1811164.89,-54187.21,6.14%
489,624,C800k_L800k_M100k_V3,800000,800000,100000,V3,40000,60,5.00,1906971.42,129977.14,7151.91,1811310.25,-54041.85,6.00%
490,659,C900k_L500k_M300k_V3,900000,500000,300000,V3,40000,54,4.50,1892103.17,115500.60,17502.59,1811650.19,-53701.91,6.02%
491,699,C1000k_L400k_M300k_V3,1000000,400000,300000,V3,40000,48,4.00,1875895.10,91558.87,15184.63,1811656.77,-53695.33,6.00%
492,654,C900k_L400k_M400k_V3,900000,400000,400000,V3,40000,55,4.58,1893462.54,119399.04,21866.27,1812077.11,-53274.99,6.03%
493,704,C1000k_L500k_M200k_V3,1000000,500000,200000,V3,40000,48,4.00,1876430.20,87752.36,10843.02,1812778.91,-52573.19,5.99%
494,664,C900k_L600k_M200k_V3,900000,600000,200000,V3,40000,54,4.50,1892569.14,110797.39,12333.42,1812930.04,-52422.06,6.00%
495,377,C400k_L900k_M400k_V1,400000,900000,400000,V1,5000,291,24.25,2380370.77,910530.52,109736.23,1813257.46,-52094.64,6.95%
496,709,C1000k_L600k_M100k_V3,1000000,600000,100000,V3,40000,48,4.00,1877127.25,83353.22,5746.82,1814105.78,-51246.32,5.98%
497,669,C900k_L700k_M100k_V3,900000,700000,100000,V3,40000,54,4.50,1893234.97,105595.27,6465.47,1814407.39,-50944.71,5.99%
498,714,C1000k_L700k_M0k_V3,1000000,700000,0,V3,40000,48,4.00,1878176.69,78655.83,0.00,1815661.14,-49690.96,5.97%
499,674,C900k_L800k_M0k_V3,900000,800000,0,V3,40000,54,4.50,1894282.67,100177.50,0.00,1816112.46,-49239.64,5.97%
500,271,C300k_L300k_M1100k_V0,300000,300000,1100000,V0,0,360,30.00,2649765.78,1666468.78,286247.92,1816591.91,-48760.19,14.36%
501,382,C400k_L1000k_M300k_V1,400000,1000000,300000,V1,5000,285,23.75,2371364.94,867343.49,82316.19,1817663.77,-47688.33,6.78%
502,352,C400k_L400k_M900k_V1,400000,400000,900000,V1,5000,286,23.83,2468256.57,1100507.51,217451.82,1818796.61,-46555.49,7.68%
503,387,C400k_L1100k_M200k_V1,400000,1100000,200000,V1,5000,277,23.08,2364213.82,823757.88,54448.07,1823300.37,-42051.73,6.63%
504,423,C500k_L400k_M800k_V2,500000,400000,800000,V2,15000,162,13.50,2181493.10,553112.35,115547.35,1831045.83,-34306.27,6.51%
505,428,C500k_L500k_M700k_V2,500000,500000,700000,V2,15000,165,13.75,2179594.18,543370.52,107980.14,1831272.40,-34079.70,6.49%
506,403,C500k_L0k_M1200k_V2,500000,0,1200000,V2,15000,135,11.25,2141822.45,502007.14,100343.76,1831684.57,-33667.54,6.29%
507,371,C400k_L800k_M500k_V0,400000,800000,500000,V0,0,360,30.00,2638681.35,1311497.74,154475.46,1832113.32,-33238.78,8.72%
508,392,C400k_L1200k_M100k_V1,400000,1200000,100000,V1,5000,267,22.25,2361493.96,783425.80,27072.19,1832122.85,-33229.25,6.48%
509,266,C300k_L200k_M1200k_V0,300000,200000,1200000,V0,0,360,30.00,2687700.46,1711717.08,293561.54,1832845.31,-32506.79,14.37%
510,347,C400k_L300k_M1000k_V1,400000,300000,1000000,V1,5000,279,23.25,2494821.46,1119624.84,217653.10,1832983.17,-32368.93,7.49%
511,433,C500k_L600k_M600k_V2,500000,600000,600000,V2,15000,165,13.75,2177653.38,529798.79,96349.21,1833224.42,-32127.68,6.44%
512,366,C400k_L700k_M600k_V0,400000,700000,600000,V0,0,360,30.00,2653034.56,1356746.04,185370.55,1834545.22,-30806.88,9.11%
513,376,C400k_L900k_M400k_V0,400000,900000,400000,V0,0,360,30.00,2624328.15,1266249.44,123580.37,1834776.55,-30575.55,8.22%
514,438,C500k_L700k_M500k_V2,500000,700000,500000,V2,15000,165,13.75,2172585.51,510877.94,82496.23,1834917.51,-30434.59,6.38%
515,418,C500k_L300k_M900k_V2,500000,300000,900000,V2,15000,157,13.08,2183671.43,554685.80,114316.48,1835067.46,-30284.64,6.45%
516,408,C500k_L100k_M1100k_V2,500000,100000,1100000,V2,15000,144,12.00,2167420.03,532915.31,107026.98,1836720.20,-28631.90,6.34%
517,443,C500k_L800k_M400k_V2,500000,800000,400000,V2,15000,165,13.75,2167853.60,491325.65,67675.86,1836865.41,-28486.69,6.33%
518,381,C400k_L1000k_M300k_V0,400000,1000000,300000,V0,0,360,30.00,2609974.94,1221001.14,92685.27,1837439.79,-27912.31,7.80%
519,413,C500k_L200k_M1000k_V2,500000,200000,1000000,V2,15000,152,12.67,2181447.24,550490.45,111783.99,1837753.28,-27598.82,6.39%
520,448,C500k_L900k_M300k_V2,500000,900000,300000,V2,15000,162,13.50,2162024.31,469724.62,51628.41,1838692.10,-26660.00,6.27%
521,386,C400k_L1100k_M200k_V0,400000,1100000,200000,V0,0,360,30.00,2595621.74,1175752.85,61790.18,1840103.02,-25249.08,7.44%
522,453,C500k_L1000k_M200k_V2,500000,1000000,200000,V2,15000,159,13.25,2156164.67,447313.42,34726.07,1840626.71,-24725.39,6.21%
523,397,C400k_L1300k_M0k_V1,400000,1300000,0,V1,5000,247,20.58,2368979.19,745391.98,0.00,1840955.70,-24396.40,6.35%
524,458,C500k_L1100k_M100k_V2,500000,1100000,100000,V2,15000,153,12.75,2150945.93,425462.88,17372.77,1842608.81,-22743.29,6.16%
525,391,C400k_L1200k_M100k_V0,400000,1200000,100000,V0,0,360,30.00,2581268.53,1130504.55,30895.09,1842766.26,-22585.84,7.12%
526,342,C400k_L200k_M1100k_V1,400000,200000,1100000,V1,5000,270,22.50,2509331.20,1120405.56,213264.93,1844316.19,-21035.91,7.29%
527,463,C500k_L1200k_M0k_V2,500000,1200000,0,V2,15000,144,12.00,2147236.69,405705.00,0.00,1844630.15,-20721.95,6.10%
528,396,C400k_L1300k_M0k_V0,400000,1300000,0,V0,0,360,30.00,2566915.32,1085256.25,0.00,1845429.49,-19922.61,6.84%
529,261,C300k_L100k_M1300k_V0,300000,100000,1300000,V0,0,360,30.00,2727021.23,1756965.37,299489.06,1849098.70,-16253.40,14.37%
530,361,C400k_L600k_M700k_V0,400000,600000,700000,V0,0,360,30.00,2667387.77,1401994.34,216265.64,1849262.46,-16089.64,8.91%
531,332,C400k_L0k_M1300k_V1,400000,0,1300000,V1,5000,231,19.25,2444977.69,992226.85,183796.58,1851069.15,-14282.95,6.79%
532,337,C400k_L100k_M1200k_V1,400000,100000,1200000,V1,5000,255,21.25,2500294.08,1086608.34,202806.55,1852543.76,-12808.34,7.04%
533,468,C600k_L0k_M1100k_V2,600000,0,1100000,V2,15000,129,10.75,2132958.62,435232.97,91722.38,1854971.01,-10381.09,6.27%
534,473,C600k_L100k_M1000k_V2,600000,100000,1000000,V2,15000,138,11.50,2159701.34,462225.05,97908.88,1862182.06,-3170.04,6.31%
535,483,C600k_L300k_M800k_V2,600000,300000,800000,V2,15000,150,12.50,2177999.79,478717.31,103884.80,1863788.51,-1563.59,6.40%
536,478,C600k_L200k_M900k_V2,600000,200000,900000,V2,15000,144,12.00,2173785.30,476700.74,102108.53,1864389.70,-962.40,6.36%
537,356,C400k_L500k_M800k_V0,400000,500000,800000,V0,0,360,30.00,2683820.54,1447242.63,245081.17,1864858.86,-493.24,8.62%
538,256,C300k_L0k_M1400k_V0,300000,0,1400000,V0,0,360,30.00,2767459.88,1802213.67,304298.72,1865352.10,0.00,N/A
539,488,C600k_L400k_M700k_V2,600000,400000,700000,V2,15000,153,12.75,2181455.84,475352.47,98964.54,1865411.31,59.21,6.40%
540,493,C600k_L500k_M600k_V2,600000,500000,600000,V2,15000,156,13.00,2182425.39,464587.43,89072.20,1868403.28,3051.18,6.36%
541,498,C600k_L600k_M500k_V2,600000,600000,500000,V2,15000,156,13.00,2180005.97,450385.92,77290.12,1870286.25,4934.15,6.32%
542,503,C600k_L700k_M400k_V2,600000,700000,400000,V2,15000,156,13.00,2175098.69,431676.37,63487.85,1872002.72,6650.62,6.27%
543,508,C600k_L800k_M300k_V2,600000,800000,300000,V2,15000,153,12.75,2168856.32,412560.68,48772.26,1872867.55,7515.45,6.22%
544,518,C600k_L1000k_M100k_V2,600000,1000000,100000,V2,15000,144,12.00,2154391.95,371802.25,16603.39,1873701.68,8349.58,6.12%
545,513,C600k_L900k_M200k_V2,600000,900000,200000,V2,15000,150,12.50,2162329.46,392179.85,33017.66,1873819.57,8467.47,6.17%
546,523,C600k_L1100k_M0k_V2,600000,1100000,0,V2,15000,138,11.50,2148461.53,353076.35,0.00,1874048.78,8696.68,6.07%
547,528,C700k_L0k_M1000k_V2,700000,0,1000000,V2,15000,122,10.17,2121134.32,371589.78,82313.09,1875291.94,9939.84,6.24%
548,351,C400k_L400k_M900k_V0,400000,400000,900000,V0,0,360,30.00,2710307.76,1492490.93,263842.24,1880754.07,15401.97,8.28%
549,427,C500k_L500k_M700k_V1,500000,500000,700000,V1,5000,283,23.58,2500149.05,948577.05,181667.49,1882755.51,17403.41,7.20%
550,422,C500k_L400k_M800k_V1,500000,400000,800000,V1,5000,280,23.33,2514139.96,980842.49,200866.23,1883206.41,17854.31,7.32%
551,533,C700k_L100k_M900k_V2,700000,100000,900000,V2,15000,130,10.83,2147685.30,394738.46,87977.73,1883885.29,18533.19,6.28%
552,432,C500k_L600k_M600k_V1,500000,600000,600000,V1,5000,285,23.75,2487764.85,913942.88,158740.29,1884488.95,19136.85,7.05%
553,437,C500k_L700k_M500k_V1,500000,700000,500000,V1,5000,285,23.75,2471924.18,872768.14,133406.23,1886210.01,20857.91,6.89%
554,442,C500k_L800k_M400k_V1,500000,800000,400000,V1,5000,283,23.58,2457074.55,831147.05,107311.99,1888382.10,23030.00,6.75%
555,538,C700k_L200k_M800k_V2,700000,200000,800000,V2,15000,137,11.42,2163671.24,406179.76,91447.70,1888544.34,23192.24,6.32%
556,447,C500k_L900k_M300k_V1,500000,900000,300000,V1,5000,280,23.33,2443639.03,790373.98,80898.65,1890899.81,25547.71,6.61%
557,583,C800k_L0k_M900k_V2,800000,0,900000,V2,15000,114,9.50,2105683.82,311463.91,72054.08,1891948.60,26596.50,6.21%
558,543,C700k_L300k_M700k_V2,700000,300000,700000,V2,15000,141,11.75,2171202.23,406178.90,88466.96,1891997.27,26645.16,6.32%
559,417,C500k_L300k_M900k_V1,500000,300000,900000,V1,5000,274,22.83,2531429.71,1001397.03,205836.00,1892595.55,27243.45,7.22%
560,452,C500k_L1000k_M200k_V1,500000,1000000,200000,V1,5000,273,22.75,2430807.58,748407.16,53771.47,1893866.66,28514.56,6.49%
561,548,C700k_L400k_M600k_V2,700000,400000,600000,V2,15000,144,12.00,2176865.88,401172.81,81161.42,1896238.27,30886.17,6.29%
562,346,C400k_L300k_M1000k_V0,400000,300000,1000000,V0,0,360,30.00,2742693.42,1537739.23,276704.88,1896774.47,31422.37,7.86%
563,457,C500k_L1100k_M100k_V1,500000,1100000,100000,V1,5000,261,21.75,2419996.45,707342.49,26508.37,1897495.67,32143.57,6.37%
564,402,C500k_L0k_M1200k_V1,500000,0,1200000,V1,5000,225,18.75,2458210.53,887541.14,174047.12,1897696.99,32344.89,6.71%
565,578,C700k_L1000k_M0k_V2,700000,1000000,0,V2,15000,129,10.75,2142428.34,302621.46,0.00,1897723.84,32371.74,6.05%
566,553,C700k_L500k_M500k_V2,700000,500000,500000,V2,15000,147,12.25,2178886.94,389586.05,71071.87,1900221.86,34869.76,6.26%
567,568,C700k_L800k_M200k_V2,700000,800000,200000,V2,15000,141,11.75,2161169.66,338732.99,31053.62,1901592.36,36240.26,6.13%
568,563,C700k_L700k_M300k_V2,700000,700000,300000,V2,15000,144,12.00,2168216.59,356904.76,45542.67,1901630.90,36278.80,6.18%
569,573,C700k_L900k_M100k_V2,700000,900000,100000,V2,15000,138,11.50,2154493.16,320136.48,15727.26,1901739.14,36387.04,6.09%
570,412,C500k_L200k_M1000k_V1,500000,200000,1000000,V1,5000,264,22.00,2540389.68,1004564.67,202547.03,1901779.73,36427.63,7.06%
571,462,C500k_L1200k_M0k_V1,500000,1200000,0,V1,5000,240,20.00,2413528.27,670625.00,0.00,1901898.94,36546.84,6.27%
572,558,C700k_L600k_M400k_V2,700000,600000,400000,V2,15000,147,12.25,2176219.55,375058.27,59211.49,1902067.92,36715.82,6.22%
573,588,C800k_L100k_M800k_V2,800000,100000,800000,V2,15000,122,10.17,2132819.30,330811.96,76918.00,1902591.02,37238.92,6.24%
574,633,C900k_L0k_M800k_V2,900000,0,800000,V2,15000,105,8.75,2085734.80,255076.51,60854.98,1904103.97,38751.87,6.17%
575,407,C500k_L100k_M1100k_V1,500000,100000,1100000,V1,5000,249,20.75,2523649.74,974837.11,192751.35,1905459.38,40107.28,6.90%
576,593,C800k_L200k_M700k_V2,800000,200000,700000,V2,15000,129,10.75,2152375.40,339345.89,77136.21,1911566.16,46214.06,6.25%
577,678,C1000k_L0k_M700k_V2,1000000,0,700000,V2,15000,96,8.00,2063231.15,202846.91,48683.26,1912806.51,47454.41,6.12%
578,341,C400k_L200k_M1100k_V0,400000,200000,1100000,V0,0,360,30.00,2778398.68,1582987.53,286247.92,1912920.84,47568.74,7.36%
579,628,C800k_L900k_M0k_V2,800000,900000,0,V2,15000,120,10.00,2130293.45,254606.25,0.00,1916042.63,50690.53,6.03%
580,598,C800k_L300k_M600k_V2,800000,300000,600000,V2,15000,132,11.00,2160415.84,337449.64,71971.94,1916633.97,51281.87,6.23%
581,638,C900k_L100k_M700k_V2,900000,100000,700000,V2,15000,114,9.50,2116685.31,270788.80,63772.01,1919428.91,54076.81,6.18%
582,603,C800k_L400k_M500k_V2,800000,400000,500000,V2,15000,135,11.25,2166581.01,331035.22,64328.40,1921795.05,56442.95,6.21%
583,623,C800k_L800k_M100k_V2,800000,800000,100000,V2,15000,129,10.75,2146098.57,270645.45,14712.61,1923150.66,57798.56,6.07%
584,608,C800k_L500k_M400k_V2,800000,500000,400000,V2,15000,135,11.25,2164670.94,318905.21,54108.47,1923497.45,58145.34,6.18%
585,618,C800k_L700k_M200k_V2,800000,700000,200000,V2,15000,132,11.00,2153395.71,287293.55,28835.98,1924020.11,58668.01,6.10%
586,613,C800k_L600k_M300k_V2,800000,600000,300000,V2,15000,135,11.25,2162012.75,304389.54,42250.99,1925345.62,59993.52,6.14%
587,436,C500k_L700k_M500k_V0,500000,700000,500000,V0,0,360,30.00,2767314.26,1228016.49,154475.46,1927154.84,61802.73,7.81%
588,643,C900k_L200k_M600k_V2,900000,200000,600000,V2,15000,119,9.92,2134279.34,276536.30,62061.91,1928705.56,63353.46,6.18%
589,336,C400k_L100k_M1200k_V0,400000,100000,1200000,V0,0,360,30.00,2816333.36,1628235.83,293561.54,1929067.22,63715.12,6.74%
590,673,C900k_L800k_M0k_V2,900000,800000,0,V2,15000,111,9.25,2112912.34,209342.92,0.00,1929210.65,63858.55,6.01%
591,683,C1000k_L100k_M600k_V2,1000000,100000,600000,V2,15000,104,8.67,2093109.54,215041.30,50392.61,1929306.59,63954.49,6.12%
592,441,C500k_L800k_M400k_V0,500000,800000,400000,V0,0,360,30.00,2752961.05,1182768.19,123580.37,1929818.07,64465.97,7.51%
593,431,C500k_L600k_M600k_V0,500000,600000,600000,V0,0,360,30.00,2781667.46,1273264.79,185370.55,1931886.15,66534.05,7.81%
594,446,C500k_L900k_M300k_V0,500000,900000,300000,V0,0,360,30.00,2738607.84,1137519.89,92685.27,1932481.30,67129.20,7.25%
595,668,C900k_L700k_M100k_V2,900000,700000,100000,V2,15000,117,9.75,2125846.09,223653.81,13562.44,1935115.73,69763.63,6.04%
596,451,C500k_L1000k_M200k_V0,500000,1000000,200000,V0,0,360,30.00,2724254.64,1092271.60,61790.18,1935144.54,69792.44,7.01%
597,648,C900k_L300k_M500k_V2,900000,300000,500000,V2,15000,123,10.25,2144550.39,272974.98,56498.02,1936042.90,70690.80,6.16%
598,713,C1000k_L700k_M0k_V2,1000000,700000,0,V2,15000,102,8.50,2090756.16,167143.65,0.00,1937185.49,71833.39,5.99%
599,456,C500k_L1100k_M100k_V0,500000,1100000,100000,V0,0,360,30.00,2709901.43,1047023.30,30895.09,1937807.77,72455.67,6.79%
600,688,C1000k_L200k_M500k_V2,1000000,200000,500000,V2,15000,108,9.00,2108343.29,218261.79,48076.03,1938180.38,72828.28,6.12%
601,653,C900k_L400k_M400k_V2,900000,400000,400000,V2,15000,124,10.33,2146977.09,265400.93,48576.17,1939235.71,73883.61,6.14%
602,461,C500k_L1200k_M0k_V0,500000,1200000,0,V0,0,360,30.00,2695548.22,1001775.00,0.00,1940471.01,75118.91,6.59%
603,658,C900k_L500k_M300k_V2,900000,500000,300000,V2,15000,124,10.33,2144948.77,253115.32,38318.89,1940919.81,75567.71,6.11%
604,663,C900k_L600k_M200k_V2,900000,600000,200000,V2,15000,123,10.25,2140585.81,239091.94,26579.57,1941424.00,76071.90,6.08%
605,467,C600k_L0k_M1100k_V1,600000,0,1100000,V1,5000,219,18.25,2467005.53,785015.39,163043.13,1941874.72,76522.62,6.64%
606,693,C1000k_L300k_M400k_V2,1000000,300000,400000,V2,15000,111,9.25,2116750.49,213321.35,42181.15,1944973.09,79620.99,6.10%
607,708,C1000k_L600k_M100k_V2,1000000,600000,100000,V2,15000,108,9.00,2105798.83,180051.06,12409.75,1945170.67,79818.57,6.02%
608,331,C400k_L0k_M1300k_V0,400000,0,1300000,V0,0,360,30.00,2855654.13,1673484.12,299489.06,1945297.40,79945.30,5.94%
609,426,C500k_L500k_M700k_V0,500000,500000,700000,V0,0,360,30.00,2796020.67,1318513.09,216265.64,1946256.09,80903.99,7.60%
610,703,C1000k_L500k_M200k_V2,1000000,500000,200000,V2,15000,111,9.25,2114722.63,193004.68,23892.34,1948388.71,83036.61,6.05%
611,698,C1000k_L400k_M300k_V2,1000000,400000,300000,V2,15000,113,9.42,2121462.80,204952.56,34068.57,1950142.80,84790.70,6.08%
612,482,C600k_L300k_M800k_V1,600000,300000,800000,V1,5000,267,22.25,2565099.64,884611.42,189858.68,1951516.64,86164.54,7.02%
613,487,C600k_L400k_M700k_V1,600000,400000,700000,V1,5000,273,22.75,2561239.21,862569.80,174560.35,1953104.39,87752.29,6.96%
614,492,C600k_L500k_M600k_V1,600000,500000,600000,V1,5000,276,23.00,2551047.81,829622.60,153118.42,1955445.09,90092.99,6.84%
615,472,C600k_L100k_M1000k_V1,600000,100000,1000000,V1,5000,242,20.17,2541248.95,864837.08,181195.15,1955680.88,90328.78,6.76%
616,477,C600k_L200k_M900k_V1,600000,200000,900000,V1,5000,258,21.50,2566252.44,890266.71,189942.07,1956888.18,91536.08,6.89%
617,497,C600k_L600k_M500k_V1,600000,600000,500000,V1,5000,278,23.17,2539987.24,794509.08,130076.18,1957837.80,92485.69,6.72%
618,522,C600k_L1100k_M0k_V1,600000,1100000,0,V1,5000,234,19.50,2450262.30,596890.94,0.00,1958873.83,93521.73,6.20%
619,502,C600k_L700k_M400k_V1,600000,700000,400000,V1,5000,276,23.00,2523355.02,753622.71,104811.33,1959160.31,93808.21,6.60%
620,507,C600k_L800k_M300k_V1,600000,800000,300000,V1,5000,273,22.75,2507019.82,712666.79,78876.73,1960554.63,95202.53,6.49%
621,517,C600k_L1000k_M100k_V1,600000,1000000,100000,V1,5000,255,21.25,2471443.23,633180.85,26117.15,1961242.80,95890.70,6.29%
622,512,C600k_L900k_M200k_V1,600000,900000,200000,V1,5000,267,22.25,2490530.96,672885.48,52701.41,1961529.67,96177.57,6.39%
623,421,C500k_L400k_M800k_V0,500000,400000,800000,V0,0,360,30.00,2812453.44,1363761.38,245081.17,1961624.53,96272.43,7.35%
624,416,C500k_L300k_M900k_V0,500000,300000,900000,V0,0,360,30.00,2838940.66,1409009.68,263842.24,1977358.48,112006.38,7.07%
625,527,C700k_L0k_M1000k_V1,700000,0,1000000,V1,5000,211,17.58,2470024.64,684979.14,150309.98,1982890.44,117538.34,6.53%
626,411,C500k_L200k_M1000k_V0,500000,200000,1000000,V0,0,360,30.00,2871326.32,1454257.98,276704.88,1993293.28,127941.18,6.74%
627,532,C700k_L100k_M900k_V1,700000,100000,900000,V1,5000,235,19.58,2553477.35,756936.94,167590.57,2003409.51,138057.41,6.62%
628,537,C700k_L200k_M800k_V1,700000,200000,800000,V1,5000,250,20.83,2585708.71,777813.63,174328.21,2008860.89,143508.79,6.73%
629,406,C500k_L100k_M1100k_V0,500000,100000,1100000,V0,0,360,30.00,2907031.58,1499506.28,286247.92,2009297.26,143945.16,6.37%
630,577,C700k_L1000k_M0k_V1,700000,1000000,0,V1,5000,225,18.75,2476433.56,524359.38,0.00,2010354.83,145002.73,6.15%
631,542,C700k_L300k_M700k_V1,700000,300000,700000,V1,5000,260,21.67,2599659.17,769557.78,164325.37,2015236.57,149884.47,6.77%
632,572,C700k_L900k_M100k_V1,700000,900000,100000,V1,5000,246,20.50,2511473.16,559541.85,25498.94,2019675.12,154323.02,6.23%
633,582,C800k_L0k_M900k_V1,800000,0,900000,V1,5000,202,16.83,2466317.89,587825.80,135506.09,2020164.45,154812.35,6.43%
